periodo,tipoEntidad,entidad,clasificacionRiesgo,tipoCartera,cantidadPlastico,cantidadCredito,deuda,tasaPorDeuda,tasaPromedioPonderado,deudaCapital,deudaVencida,deudaVencidaDe31A90Dias,valorDesembolso,valorGarantia,valorProvisionCapitalYRendimiento
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,E,Tarjetas de créditos,220,241,12623761.9,641944614.0000001,50.85208506665515,11236535.95,12623761.9,0.0,0.0,21162.31,11236658.0
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,B,Créditos Hipotecarios,0,10,20372583.49,421227011.5189999,20.67617058610959,19373054.69,536263.33,536263.33,0.0,12941836.33,670954.78
2020-01,BANCOS MÚLTIPLES,BANESCO,B,Créditos comerciales,35,106,1389645551.92,12087007862.507,8.697907064004207,1384675916.12,2412306.96,2412306.96,87864410.24999999,985477312.58,22865330.54000001
2020-01,BANCOS MÚLTIPLES,BDI,A,Créditos comerciales,269,811,4203871386.280001,53791326208.0895,12.79566410705285,4182359088.250001,0.0,0.0,201826915.11,1244972095.98,42370329.59999998
2020-01,BANCOS MÚLTIPLES,BHD,D2,Créditos comerciales,51,969,3853553980.35,40686365863.69834,10.55814089309915,3782463255.810006,343573048.4299999,24916771.8,51382572.97000001,2726380460.539999,762422870.37
2020-01,BANCOS MÚLTIPLES,BANESCO,C,Créditos Hipotecarios,0,10,35475770.94000001,425448649.1,11.99265407986649,34383900.66,793577.6399999999,793577.6399999999,0.0,34618083.82,547890.52
2020-01,BANCOS MÚLTIPLES,BANESCO,D1,Tarjetas de créditos,1999,2377,87339061.11999997,5227462874.399999,59.85251967865441,73614417.66000001,86181458.39,0.0,26837.85,0.0,29484987.85
2020-01,BANCOS MÚLTIPLES,BANESCO,D1,Créditos comerciales,12,51,730544901.8800001,6924327421.936,9.478305035209726,723013210.6399999,59644903.37,2276286.79,141176.23,664255906.2299999,31363214.64999999
2020-01,BANCOS MÚLTIPLES,BANESCO,A,Créditos comerciales,565,1176,3980172140.470001,40725316365.83853,10.23204899902381,3965793837.370001,3172.5,0.0,540533080.5599997,1630065476.56,39804862.41000003
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,A,Créditos de consumo,0,584046,62730311038.88001,1083040805596.404,17.26503165152711,62343908390.22982,0.0,0.0,3978994250.08,9090971582.900005,636501581.2000003
